Category,Feature,Detail,Logic,Progress,Result (Additional Comment)
UI,기본 UI,"우상단 Money
좌하단 볼륨 버튼",,Ready,
,볼륨 조절 패널,아이콘 위에 간단한 볼륨 조절 세로 슬라이드 바,,Ready,
,자원 MAX,보유 자원 Max 도달시 출,,Ready,
,인터랙션 UI,인터랙션 쪽에 요구 자원 관련 UI,,Ready,
,쇠고랑 요구,쇠고랑 요구치 말주머니,,Ready,
,,,,,
플레이어,이동,Input System 기반 이동 입력 처리 -> WASD,,Complete,
,카메라,"follow player
노멀라이즈한 거리
Rot : Y -45도",,Complete,
,인터랙션 감지,"플레이어가 인터랙션 구역에 있는지 감지
이동 입력 없음 + 실제 정지 상태일 때 자동 상호작용 요청 전달
인터랙션은 틱 단위로 수행",,Ready,
,장비 착용,"장비 착용에 따른 효과 적용
모델에게 장비를 들게하거나, 불도저를 타거나 등...",,Ready,
,광맥 캐기,"캐릭터 앞 일정 범위 안에 있는 광맥 중 하나 타겟팅
파괴 -> 등에 쌓음
Max면 UI 띄우고 파괴X",,Ready,
,자원 적재,"자원 타입별 적재 위치(anchor/offset) 관리
관리/돈/쇠고랑 등 자원 성질에 따라 적재 위치 다름
최대 적재량 및 적재 가능 자원 타입 관리",,Ready,
,,,,,
,,,,,
장비,장비 베이스,"상속 형태
장비가 채굴 범위와 인터벌 데이터 갖고
장비에 따라 모델이 바뀌어야 함",,Ready,
,곡쾡이,,,Ready,
,드릴,,,Ready,
,불도저,,,Ready,
,장비 교체,인터랙션 구역 -> 장비 구매시 장비 교체,,Ready,
,장비 비주얼,"손에 드는 모델 / 탑승 모델 변경
비주얼 책임 클래스 분리? 고민 중",,Ready,
,,,,,
,,,,,
NPC,NPC 베이스,"상속 형태 - NPC가 늘어날 확률이 있음
이동, 상태, 작업, 타겟 설정 공통화
정식 FSM은 아니지만 enum 기반 상태 처리 개념으로 초기 설계",,Ready,
,광부,대기 반납 없고 지정 구역 채굴 -> 즉시 원격 반납,,Ready,
,쇠고랑 운반,대기 - 쇠고랑 획득 - 지정 위치 쇠고랑 반납,,Ready,
,죄수들,"쇠고랑 수령 대기 / 쇠고랑 수령 상태 표현
쇠고랑 수령 완료시 감옥 앞으로 이동
감옥 앞 도착 -> 감옥 빈자리 있으면 감옥 안으로 이동 -> 없으면 대기",,Ready,
,NPC 매니져,"NPC 해금 구매시 추가
죄수 생성 및 이동
각 시설이나 이동지점 관련된 오브젝트 직렬화해서 보유
-> 생성된 죄수한테 주입하는 형태로 통제 역할",,Ready,
,,,,,
,,,,,
인터랙션 구역,인터랙션 구역 베이스,"플레이어 / NPC 진입 감지
정지 상태일 때 자동 처리 (요청 받아 처리)
자원 전달 / 자원 획득 / 구매 고용 해금 처리의 공통 베이스
비용 표시 및 활성화 조건 표시
요구치 충족 시 1회 실행, 완료 후 비활성화 가능
다음 해금 대상 활성화 처리 가능",,Ready,
,시설 해금 구역,특정 시설 활성화,,Ready,
,NPC 고용 구역,광부 / 운반 NPC 고용,,Ready,
,장비 구매 구역,곡괭이 / 드릴 / 불도저 획득,,Ready,
,쇠고랑 반납 구역,플레이어 / NPC가 들고 온 쇠고랑을 접수대 입력 스택에 적재,,Ready,
,돈 획득 구역,"접수대에서 생성한 돈 -> 여기에 돈이 쌓여있음
플레이어가 들어가면 돈 획득함
획득한 돈은 플레이어 등 뒤로 (획득. 이게 보유 돈)",,Ready,
,,,,,
,,,,,
자원,자원 베이스,"자원 공통 데이터, 타입, 수량, 아이콘",,Ready,
,광맥,"월드의 광맥
-> 파괴후 플레이어 뒤에 스택되는 광석
-> NPC가 파괴하면 바로 원격 반납",,Ready,
,광석,"플레이어 위에 쌓이고, 반납하는 용도",,Ready,
,광맥 논리 그리드,"광맥 스폰 영역을 정의할 6x20 짜리 광맥 논리 그리드 시스템
광맥 1개의 크기(그리드 크기) 정의
그리드 역할만 담당하고 자원매니져와 연동해서 스폰 관리",,Ready,
,쇠고랑,"월드의 쇠고랑 -> 컨베이어 벨트 타고 이동함
-> 다 옮겨지면 NPC나 플레이어가 옮길 수 있음
얘는 모델은 동일한 듯",,Ready,
,돈,"쇠고랑으로 NPC(죄수) 통과시 획득
장비 구매, NPC 고용, 시설 해금 용도",,Ready,
,자원 매니져,"플레이어 적재 관리 x
월드 자원 스폰/리스폰, 광맥 생명주기
자원 스택 생성/회수 관리",,Ready,
,,,,,
,,,,,
시설,시설 베이스,"잠금, 활성화, 처리 규칙, 처리 주기, 입 출력 스택 참조
저장량 제거",,Ready,
,생산라인,"입력 광석 1개 ->  쇠고랑 1개 생산
생산 interval 보유
입력 스택에서 1개 소모
생산 완료 시 출력 스택에 적재",,Ready,
,접수대,"죄수 대기열 관리
접수대 입력 스택의 쇠고랑 3개를 소비하여 죄수 1명 처리
감옥 open 상태일 때만 처리

처리 완료 시 돈 생성하여 돈 획득 구역 스택으로 전달
죄수 이동 상태 변경",,Ready,
,죄수 수용소,"수용 인원 관리
현재 수용 인원에 따라 open / close 판정
확장시 수용 인원 증가 및 open 재판정
구역 해금?",,Ready,
,,,,,
,,,,,
오디오 시스템,SFX,특정 메서드 실행시 효과음 실행,,Ready,
,오디오 UI,슬라이더에 연결해서 Mixer 조절,,Ready,
,Mixer,현재 구성에서는 SFX만 조절하면 될 거 같음,,Ready,
,,,,,
System,GameManager,"스테이지 전체 참조 관리
시작시 초기화, 주요 시스템 연결",,Ready,
,MoneyManager,"플레이어가 운반 중인 돈 수량 관리
인데 적재 자체를 관리하는 매니져로 변경하거나 해야할듯
Money 전용 매니져가 맞나 의문",,Ready,
,ProgressionManager,각 인터랙션 해금 조건 관,,Ready,
,AudioManager,"오디오 설정 저장 로드
AudioManager.Instance.SFX(id) 로 특정 SFX를 특정 메서드에서 재생 구조",,Ready,
,AudioLibrary,SFX를 id로 인덱싱 -> 오디오매니져에서 재생,,Ready,